Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Aug-2019,25.60,59.72,11.43,5.72,18.68
2-Aug-2019,29.00,43.44,12.34,5.95,27.35
3-Aug-2019,28.43,47.45,10.95,5.56,24.01
4-Aug-2019,31.47,44.23,14.66,4.85,28.44
5-Aug-2019,31.17,49.04,8.27,5.13,27.78
6-Aug-2019,31.60,51.94,10.77,5.02,26.82
7-Aug-2019,27.77,54.47,13.02,5.95,26.77
8-Aug-2019,31.53,47.62,10.11,5.26,29.10
9-Aug-2019,28.87,69.23,10.80,5.62,22.10
10-Aug-2019,25.29,65.47,11.85,5.64,20.64
11-Aug-2019,26.60,60.55,12.25,5.85,24.82
12-Aug-2019,27.73,57.50,11.97,5.79,23.89
13-Aug-2019,29.48,57.76,10.77,5.58,22.60
14-Aug-2019,28.63,64.60,11.15,5.75,24.55
15-Aug-2019,29.43,69.22,11.51,5.95,26.99
16-Aug-2019,28.47,62.47,9.22,6.08,26.77
17-Aug-2019,28.83,70.17,11.09,6.37,26.77
18-Aug-2019,28.82,69.95,10.73,6.46,26.04
19-Aug-2019,29.17,63.89,13.48,6.71,24.56
20-Aug-2019,30.40,69.31,16.30,6.99,25.94
21-Aug-2019,29.83,65.50,17.95,6.58,27.17
22-Aug-2019,30.83,62.33,12.51,6.17,33.21
23-Aug-2019,29.53,69.42,15.50,6.67,33.29
24-Aug-2019,31.17,57.33,14.53,6.15,33.17
25-Aug-2019,30.43,60.26,10.32,6.33,35.45
26-Aug-2019,26.53,70.98,15.19,7.60,31.91
27-Aug-2019,29.83,65.50,17.95,6.58,27.17
28-Aug-2019,30.83,64.58,13.18,6.54,37.17
29-Aug-2019,30.60,66.55,14.71,6.51,37.35
30-Aug-2019,30.43,60.26,10.32,6.33,35.45
31-Aug-2019,29.87,66.28,19.00,6.74,33.47
