Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Dec-2019,16.21,65.23,31.25,25.48,62.54
2-Dec-2019,16.77,68.33,33.77,27.13,65.67
3-Dec-2019,16.33,71.67,41.17,31.10,53.79
4-Dec-2019,16.9,68.33,48.02,30.28,64.47
5-Dec-2019,15.93,70.33,45.92,29.65,65.28
6-Dec-2019,15.62,71.25,48.25,30.27,66.79
7-Dec-2019,16.25,60.27,44.56,27.84,68.21
8-Dec-2019,16.67,68.0,33.16,24.12,65.01
9-Dec-2019,14.63,73.67,60.64,36.30,121.97
10-Dec-2019,14.93,71.67,52.19,31.96,72.66
11-Dec-2019,12.25,75.45,50.12,35.42,68.42
12-Dec-2019,10.5,77.33,44.09,40.54,50.93
13-Dec-2019,11.42,75.25,42.25,38.54,52.13
14-Dec-2019,11.98,77.78,45.21,45.21,49.56
15-Dec-2019,12.87,74.67,19.52,39.44,44.97
16-Dec-2019,14.93,72.0,29.70,36.93,53.81
17-Dec-2019,14.97,73.67,35.24,39.81,54.00
18-Dec-2019,16.21,68.0,60.64,24.12,72.66
19-Dec-2019,16.77,73.67,52.19,36.30,68.42
20-Dec-2019,12.25,71.67,41.17,31.96,50.93
21-Dec-2019,10.5,68.33,48.02,35.42,52.13
22-Dec-2019,14.97,72.67,30.83,40.54,49.56
23-Dec-2019,10.5,77.33,60.64,36.30,68.42
24-Dec-2019,11.42,75.25,52.19,31.96,50.93
25-Dec-2019,11.6,77.67,44.21,51.77,71.35
26-Dec-2019,10.6,75.52,45.21,48.21,65.54
27-Dec-2019,10.52,78.25,50.21,44.62,62.12
28-Dec-2019,9.98,77.12,54.12,40.12,60.18
29-Dec-2019,9.33,81.0,28.00,67.73,66.48
30-Dec-2019,10.23,77.33,26.89,53.17,64.53
31-Dec-2019,10.32,77.25,35.45,50.85,60.45
