Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Jul-2019,36.37,20.34,15.03,10.60,33.67
2-Jul-2019,38.50,18.50,15.43,11.66,41.24
3-Jul-2019,36.53,18.11,16.06,11.82,41.36
4-Jul-2019,36.77,18.81,16.17,11.10,42.24
5-Jul-2019,34.00,24.58,15.05,9.79,34.25
6-Jul-2019,29.50,28.58,12.39,8.81,31.60
7-Jul-2019,33.50,30.95,12.44,8.93,32.31
8-Jul-2019,34.67,34.64,14.10,10.13,31.94
9-Jul-2019,34.67,34.64,14.10,10.13,31.94
10-Jul-2019,29.00,38.22,14.04,9.47,30.98
11-Jul-2019,28.33,39.34,13.12,9.08,31.07
12-Jul-2019,30.60,38.31,10.93,7.12,39.55
13-Jul-2019,28.70,41.73,10.07,6.17,27.60
14-Jul-2019,28.60,43.17,10.12,6.21,28.43
15-Jul-2019,29.44,61.83,7.70,5.66,31.59
16-Jul-2019,27.53,59.13,11.14,4.29,26.00
17-Jul-2019,27.07,64.13,10.28,5.08,34.86
18-Jul-2019,27.87,62.46,12.91,5.00,36.50
19-Jul-2019,30.70,54.20,13.91,5.38,36.67
20-Jul-2019,30.93,52.54,11.74,4.61,26.26
21-Jul-2019,27.90,58.79,11.43,4.43,34.30
22-Jul-2019,29.57,81.50,9.09,5.91,37.85
23-Jul-2019,30.80,46.82,13.59,4.70,41.39
24-Jul-2019,34.83,59.82,10.00,4.15,44.20
25-Jul-2019,25.03,62.06,16.05,4.77,24.24
26-Jul-2019,27.73,55.83,16.19,4.73,23.82
27-Jul-2019,26.73,57.97,14.78,4.67,23.82
28-Jul-2019,27.37,59.82,16.19,4.88,24.56
29-Jul-2019,31.03,48.49,12.23,4.89,25.49
30-Jul-2019,31.40,45.78,11.14,5.07,28.26
31-Jul-2019,26.93,48.49,9.57,5.80,18.75
