Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Jun-19,29.32,33.23,18.61,18.54,32.12
2-Jun-19,35.04,30.76,20.42,7.77,30.6
3-Jun-19,25.95,36.43,11.54,11.06,30.18
4-Jun-19,30.15,38.38,11.71,11.4,30.91
5-Jun-19,25.87,36.55,11.97,11.57,30.74
6-Jun-19,21.72,35.43,11.44,11.84,29.41
7-Jun-19,22.48,36.1,11.22,11.66,29.24
8-Jun-19,24.33,36.91,11.66,11.47,28.35
9-Jun-19,24.62,36.9,11.21,11.06,29.9
10-Jun-19,24.6,38.17,11.14,11.33,32.76
11-Jun-19,21.8,38.86,11.47,11.32,28.47
12-Jun-19,20.53,39.55,10.67,10.9,26.67
13-Jun-19,23.14,36.63,12.32,11.62,30.7
14-Jun-19,23.32,36.47,11.99,11.18,29.43
15-Jun-19,23.78,40.92,10.28,10.1,28.23
16-Jun-19,22.89,41.81,10.47,10.29,27.35
17-Jun-19,23.25,39.41,10.76,10.89,29.75
18-Jun-19,23.04,40.07,10.78,10.7,28.67
19-Jun-19,32.93,35.32,16.98,7.1,29.52
20-Jun-19,27,37.4,11.44,10.43,17
21-Jun-19,27.4,35.43,12.18,10.88,19.57
22-Jun-19,27.27,36.65,11.91,10.49,20.73
23-Jun-19,26.73,37.89,11.44,10.3,24.2
24-Jun-19,26.07,37.04,14.52,11.5,30.39
25-Jun-19,32.2,31.71,14.23,11.6,27.31
26-Jun-19,35.47,24.58,14.26,12.26,28.83
27-Jun-19,35.62,18.7,13.91,11.19,34.22
28-Jun-19,36,18.45,13.87,11.17,32.84
29-Jun-19,37.64,19.87,11.62,10,43.29
30-Jun-19,35.9,22.37,11.91,9.39,29.16
