Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Nov-2019,22.45,65.67,22.56,13.78,38.65
2-Nov-2019,21.52,67.23,18.57,15.67,40.76
3-Nov-2019,20.76,68.01,17.98,14.76,37.85
4-Nov-2019,22.33,68.57,20.99,12.21,36.09
5-Nov-2019,19.6,73.39,24.84,17.63,43.87
6-Nov-2019,17.86,76.64,27.01,18.97,32.95
7-Nov-2019,15.67,79.33,20.92,14.99,38.68
8-Nov-2019,19.03,73.0,16.58,17.61,34.53
9-Nov-2019,21.03,67.33,20.26,20.06,44.83
10-Nov-2019,21.17,65.33,21.06,17.53,46.66
11-Nov-2019,19.57,64.33,21.39,17.97,44.11
12-Nov-2019,16.63,69.0,31.49,22.54,90.05
13-Nov-2019,16.57,70.0,31.25,24.44,51.72
14-Nov-2019,17.02,69.0,30.97,23.75,43.78
15-Nov-2019,17.83,66.0,21.67,18.42,36.40
16-Nov-2019,16.53,61.0,16.54,21.13,37.99
17-Nov-2019,19.57,64.0,9.71,19.02,37.62
18-Nov-2019,19.8,61.33,16.17,18.44,40.57
19-Nov-2019,18.07,64.0,25.56,22.94,77.66
20-Nov-2019,16.2,67.0,33.83,24.73,95.69
21-Nov-2019,14.33,72.0,30.98,28.03,48.00
22-Nov-2019,15.21,70.32,20.76,18.43,50.75
23-Nov-2019,16.1,68.31,30.54,21.56,53.67
24-Nov-2019,17.2,66.33,21.80,22.29,42.92
25-Nov-2019,17.57,63.0,23.57,21.42,59.76
26-Nov-2019,16.6,70.0,19.09,22.76,68.56
27-Nov-2019,14.47,73.0,21.65,25.15,65.15
28-Nov-2019,14.2,75.67,23.33,25.19,46.12
29-Nov-2019,14.76,70.67,20.45,20.45,50.62
30-Nov-2019,15.21,69.8,21.67,22.89,53.54
