Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Oct-2019,25.60,83.38,15.25,9.89,32.95
2-Oct-2019,26.07,80.52,16.43,11.82,39.35
3-Oct-2019,23.73,85.40,19.68,13.85,40.55
4-Oct-2019,26.07,80.68,11.58,9.45,27.27
5-Oct-2019,26.47,83.11,15.11,10.93,34.79
6-Oct-2019,23.37,85.79,22.96,17.00,47.15
7-Oct-2019,24.57,82.11,17.78,14.99,31.08
8-Oct-2019,26.40,79.13,16.55,13.94,38.70
9-Oct-2019,25.03,85.36,22.89,9.90,33.55
10-Oct-2019,26.60,81.38,19.44,10.56,41.75
11-Oct-2019,27.00,79.01,21.55,10.74,47.03
12-Oct-2019,26.97,79.76,21.63,10.73,58.63
13-Oct-2019,27.13,78.78,19.23,10.80,58.51
14-Oct-2019,27.23,76.34,20.13,11.67,55.78
15-Oct-2019,27.47,76.32,19.56,11.09,54.67
16-Oct-2019,27.13,78.78,19.14,11.19,89.96
17-Oct-2019,26.27,85.24,14.60,11.20,53.43
18-Oct-2019,24.63,86.38,16.53,12.39,34.59
19-Oct-2019,24.77,84.24,20.10,12.98,45.87
20-Oct-2019,24.87,80.71,16.52,13.62,52.94
21-Oct-2019,24.87,80.71,16.52,13.62,52.94
22-Oct-2019,25.17,82.74,20.88,13.40,46.37
23-Oct-2019,25.57,80.26,19.66,13.20,49.94
24-Oct-2019,26.27,77.94,21.18,13.00,56.43
25-Oct-2019,26.53,75.24,18.41,12.91,56.81
26-Oct-2019,26.43,76.06,23.31,11.93,52.23
27-Oct-2019,26.20,77.19,18.21,11.30,53.52
28-Oct-2019,26.23,75.26,24.12,12.65,60.82
29-Oct-2019,24.67,73.49,35.10,14.32,86.01
30-Oct-2019,24.83,72.10,25.82,13.77,84.60
31-Oct-2019,25.70,60.67,20.90,13.82,61.34
