Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Sep-2019,30.33,68.79,10.95,6.84,27.57
2-Sep-2019,30.47,66.16,12.51,6.96,25.32
3-Sep-2019,30.50,67.02,15.13,6.95,33.82
4-Sep-2019,31.23,64.27,12.29,7.95,34.88
5-Sep-2019,29.67,72.43,11.66,7.80,32.93
6-Sep-2019,30.13,78.47,12.79,7.68,32.72
7-Sep-2019,30.00,72.46,10.82,7.72,23.29
8-Sep-2019,29.40,73.76,13.16,7.86,29.26
9-Sep-2019,31.30,68.15,10.23,6.74,36.71
10-Sep-2019,31.53,66.79,10.64,6.74,37.36
11-Sep-2019,31.27,68.47,11.95,6.80,41.63
12-Sep-2019,31.80,63.80,13.82,6.68,44.38
13-Sep-2019,28.77,77.62,11.49,5.75,35.04
14-Sep-2019,30.03,72.32,11.38,5.52,30.12
15-Sep-2019,29.50,73.45,10.61,5.85,29.91
16-Sep-2019,28.57,77.32,11.93,5.79,30.16
17-Sep-2019,29.40,76.72,15.65,9.65,44.49
18-Sep-2019,28.93,80.14,13.67,8.60,51.04
19-Sep-2019,27.23,83.96,12.79,7.91,36.21
20-Sep-2019,27.67,78.26,14.29,8.44,33.28
21-Sep-2019,28.70,74.47,17.30,9.85,41.81
22-Sep-2019,29.43,71.81,13.85,11.09,42.24
23-Sep-2019,28.40,76.00,12.60,9.85,43.34
24-Sep-2019,28.43,74.26,12.32,9.84,53.16
25-Sep-2019,27.17,80.28,14.59,10.28,60.70
26-Sep-2019,28.80,78.07,11.60,9.48,51.52
27-Sep-2019,27.67,83.69,14.21,9.85,29.31
28-Sep-2019,26.43,84.56,11.23,8.82,23.85
29-Sep-2019,26.53,82.08,9.78,8.38,27.60
30-Sep-2019,27.00,78.69,12.11,9.12,28.35
