Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Dec,15,42,5.2,23.6,35.6
2 - Dec,15.6,57,5.4,28.7,51
3 - Dec,15.33,56,5.5,30.6,68.9
4 - Dec,15.33,58,5.4,31.8,75.3
5 - Dec,15,53.7,7.23,30.36,92.03
6 - Dec,14.33,47,7.56,30.63,65.16
7 - Dec,14.7,46,8.99,32.3,66.8
8 - Dec,15,48,10.3,34.6,70.6
9 - Dec,14.3,50,9.53,31.4,57.8
10 - Dec,14,52,9.33,30.1,46.2
11 - Dec,13.7,51,11.7,32.9,52.46
12 - Dec,13.6,52.7,12.9,33.3,53.86
13 - Dec,13,50.7,11.33,29.46,45.3
14 - Dec,13.7,48,10.9,28.66,43.7
15 - Dec,13.7,42,11.3,28.9,45.9
16 - Dec,13.3,39,11.6,31.22,49.5
17 - Dec,13,37,12.7,31.7,57.6
18 - Dec,12.7,40,13.55,33.8,72
19 - Dec,12.7,42.66,15.93,31.83,70.33
20 - Dec,13,43,14.6,33.8,84.3
21 - Dec,13,45,15.7,35.6,89.5
22 - Dec,12.7,54,14.3,33.5,80
23 - Dec,12.7,47,14.56,33.84,81
24 - Dec,12.33,42,13.7,32.6,74
25 - Dec,12.33,40,15.2,39.7,96.3
26 - Dec,12,45,14.81,38.6,90
27 - Dec,12,48,13.6,33.21,73.6
28 - Dec,12,50,13.8,31.7,72.4
29 - Dec,11.7,54,14.3,32.6,80
30 - Dec,11.7,73,12.4,31.6,47.8
31 - Dec,11.33,70,11.3,29.4,40.2
