Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Feb,12,42,9.88,23.7,43.7
2 - Feb,13.33,44.33,10.9,24.83,48.33
3 - Feb,13,46,12.6,29.4,70.3
4 - Feb,14,60,9.74,23.6,41.8
5 - Feb,14,60,10.2,24.11,43.9
6 - Feb,12.7,56.7,8.62,22.53,16.56
7 - Feb,13.33,47.7,7.77,18.2,19.4
8 - Feb,12,52,7.58,17.1,27
9 - Feb,10.33,59.33,7.04,15.83,17.4
10 - Feb,10.66,67,7.3,23.1,32
11 - Feb,10.66,70,7.2,22.8,22.1
12 - Feb,11,32,7.16,22.6,19.33
13 - Feb,11.66,34,6.9,20.5,21.5
14 - Feb,13,34.33,7.16,27.4,43.7
15 - Feb,13,42,7.33,21.2,28.9
16 - Feb,13.33,43,8.1,28.1,70
17 - Feb,13.66,39,8.6,28.3,73.8
18 - Feb,14.33,40,7.6,27.75,66.8
19 - Feb,14.33,63,6.73,27.3,60
20 - Feb,15,54,6.88,25.9,71
21 - Feb,15.7,43.33,6.7,19.2,20.66
22 - Feb,15.33,46,6.2,20.1,18
23 - Feb,15,47,6.5,21.46,22.7
24 - Feb,15.66,51,5.8,23.8,41.33
25 - Feb,15.66,56,5.6,21.9,26
26 - Feb,16,49.33,5.43,19.96,18.33
27 - Feb,15,51,5.22,19.51,23
28 - Feb,14.66,55.7,5.14,19.2,21
