Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Jan,11.66,44,14.9,48.7,63.1
2 - Jan,11.66,40,15.22,49.5,65
3 - Jan,12,37.6,16.8,52.6,112
4 - Jan,12.66,35.2,15.3,53.6,74
5 - Jan,13,33.66,15.9,58.23,71.64
6 - Jan,14,36,16.4,56.4,85
7 - Jan,14.33,38,17.33,54.3,102.3
8 - Jan,14.66,43.6,16.8,52.1,97.5
9 - Jan,15.33,49.33,13.63,34.1,62.7
10 - Jan,13,66,12.8,41.3,70.4
11 - Jan,10.66,78,11.9,33.4,42
12 - Jan,10.33,72,12.4,33.5,43
13 - Jan,10,64,13.8,34.6,59.6
14 - Jan,9.33,60,13.64,33.7,57.2
15 - Jan,8,46,12.7,31.4,46.7
16 - Jan,8.33,41,14.73,33.2,50.53
17 - Jan,8.7,41,13.04,31.7,45.5
18 - Jan,8.7,40,14.3,35.6,72
19 - Jan,9,44.7,11.56,31.4,44
20 - Jan,9,50,11.2,30.1,40
21 - Jan,9,66,10.6,28.6,28.1
22 - Jan,8.7,60,10.91,31.6,51.4
23 - Jan,8.7,58,12.3,35.3,75
24 - Jan,8.33,55,14.6,37.68,90
25 - Jan,8.33,53.5,13.2,35.4,82
26 - Jan,8.6,50,13.6,33.7,72
27 - Jan,9,49,14.7,34.5,84
28 - Jan,9.6,67,13.8,30.9,62
29 - Jan,10,61,11.2,26.8,35
30 - Jan,10.33,57.7,8.9,20.13,23
31 - Jan,10.7,56,10.34,24.67,42.7
