Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Mar,16,63,4.7,20.7,23
2 - Mar,15,59.77,5.36,20.4,22
3 - Mar,16,47,5.41,22.9,29
4 - Mar,16.33,42,4.8,21.8,24
5 - Mar,16.66,41,4.3,19,18
6 - Mar,17,37,5.03,18.56,18.6
7 - Mar,17.33,32.33,5,18.23,18.83
8 - Mar,18.33,32.33,4.78,17.7,17.71
9 - Mar,18.33,38,5.1,23.9,33.4
10 - Mar,18,36,5.04,24.5,31.5
11 - Mar,18.33,39,5.3,24.7,33.6
12 - Mar,19,41,4.86,22.26,41.2
13 - Mar,19.33,39.4,4.81,20.9,24.1
14 - Mar,19.66,38.33,4.9,21.23,20.6
15 - Mar,19,43,4.6,23.9,27
16 - Mar,18.33,67,4.3,18.6,11
17 - Mar,18.66,63,4.5,21.8,28.4
18 - Mar,18,70,4.21,20.9,20.5
19 - Mar,18.66,54,5.3,21.3,27.9
20 - Mar,18.66,58.66,5.11,21.3,26
21 - Mar,19,70,4.17,18.6,23.8
22 - Mar,19.33,65,4.3,19.3,27.3
23 - Mar,20,68.33,4.21,18.23,13.76
24 - Mar,19,73,4.33,19.8,23.4
25 - Mar,18,83,3.75,13.7,12.7
26 - Mar,17,79.33,3.68,13.5,9.86
27 - Mar,18,63,3.81,16.9,19.7
28 - Mar,18.33,64,3.82,17.11,22
29 - Mar,17.33,53.33,4.15,16.56,27.33
30 - Mar,16,81,3.8,15.33,18.9
31 - Mar,16.33,83,3.42,13.5,8.3
