Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Oct,27.6,65,2.8,12.2,12.8
2 - Oct,27,74.66,2.73,11.63,12.66
3 - Oct,27,72,2.73,13.47,23
4 - Oct,27.6,56.6,2.73,13.13,18
5 - Oct,28,51.33,2.91,13.76,25.7
6 - Oct,26.33,64,2.8,13.83,14.26
7 - Oct,27,58,2.94,14.7,17
8 - Oct,26,60,3.3,15.6,21.2
9 - Oct,25,62,4.05,18,29.53
10 - Oct,24.33,65,4.23,21.12,32.33
11 - Oct,24,70.33,4.31,21.65,31.7
12 - Oct,24,61.33,3.83,17.33,19
13 - Oct,23.5,57,3.91,18.7,27
14 - Oct,23,56,3.92,19.2,29
15 - Oct,23,54,3.45,19.4,27.2
16 - Oct,23,54.33,3.55,17.03,23.2
17 - Oct,23,51.66,3.69,17.42,28.26
18 - Oct,22.5,50.8,3.5,18.4,29.4
19 - Oct,22.3,48,3.71,18.53,24.33
20 - Oct,21.7,59.66,3.54,15.9,17
21 - Oct,21.33,56,3.65,16.8,21
22 - Oct,21,47,3.68,17.5,22.6
23 - Oct,20.7,43,3.57,17.3,21.8
24 - Oct,20.66,40.33,3.72,16.56,24.66
25 - Oct,21.7,42.33,3.47,16.83,26.7
26 - Oct,21,48,3.72,17.8,28
27 - Oct,22,42.7,3.83,18.1,28
28 - Oct,21,38,3.9,19.2,32
29 - Oct,21.7,42,4.17,21.8,34
30 - Oct,22,46.33,4.32,23.16,42
31 - Oct,21.7,46.33,4.93,24.5,51
