Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Sep,30.83,62.67,5.9,9.23,20.67
2 - Sep,30.5,65,4.1,10.6,19.6
3 - Sep,30,67,3.67,11.2,18.6
4 - Sep,29.63,62,4.7,8.4,18.9
5 - Sep,26.13,70,3.6,7.17,15.73
6 - Sep,28.07,68.33,5.3,8,18.17
7 - Sep,29.37,66.67,6.6,8.23,21.1
8 - Sep,29.7,66.7,3.62,15.96,22.73
9 - Sep,29,73,3.73,16.4,21
10 - Sep,28,74,3.5,14.2,18.3
11 - Sep,27.33,76.33,3.38,11.47,11.93
12 - Sep,27.7,74,3.42,12.36,18.2
13 - Sep,28,66.7,3.36,13.43,22.06
14 - Sep,28.7,66.33,3.62,13.16,21.98
15 - Sep,28.7,67.7,2.83,13.03,21.3
16 - Sep,28,84,3.02,11.7,18.7
17 - Sep,27,76,2.75,11.4,15.8
18 - Sep,27.7,57.33,3.23,12.03,18.93
19 - Sep,28,58,3.36,12.3,26.2
20 - Sep,28.3,57,3.31,13.2,23.24
21 - Sep,28.7,60,3.45,12.67,21.6
22 - Sep,29,59,3.93,16.42,34.06
23 - Sep,30,63,4.51,19.6,43.2
24 - Sep,28.5,75,4,16.4,18.7
25 - Sep,26.7,74.7,3.51,14.23,17.6
26 - Sep,26.7,70,3.55,13.34,21.49
27 - Sep,27.66,62.66,3.96,15.2,30
28 - Sep,28.33,57,4,16.3,28
29 - Sep,28,51.7,3.62,16.65,28
30 - Sep,29,47,3.7,17.4,32
