Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Apr,26.7,30,11.6,25.6,36.8
2 - Apr,27,31.6,14.8,22.47,26.88
3 - Apr,27.33,29.66,10.94,20.33,25.44
4 - Apr,27.33,28.66,11.3,23.75,33.24
5 - Apr,27,29.66,10.9,23.03,28.6
6 - Apr,27.33,28,11.54,23.8,27.43
7 - Apr,28,28,12.83,23.27,28.55
8 - Apr,27.6,30,10.4,20.6,32.7
9 - Apr,27,29,9.1,20.21,31.4
10 - Apr,28.33,26.7,11.88,24.16,31.5
11 - Apr,28.33,27,9.923,22.87,30.32
12 - Apr,27.33,41.33,9.78,22.97,33.67
13 - Apr,27.66,44.33,9.78,22.9,28.7
14 - Apr,28,37,9.71,21.38,18.61
15 - Apr,27.66,31.33,9.04,20.53,17.31
16 - Apr,28,32.5,9.2,20.4,19.3
17 - Apr,29,34.33,9.48,19.7,24.36
18 - Apr,28.33,41,9.2,22.12,31.03
19 - Apr,28.33,48,8.53,21.53,24.6
20 - Apr,28,46.33,8.21,19.81,20.94
21 - Apr,27.33,46,9.7,19.64,13.2
22 - Apr,27,47.66,8.64,18.16,16.78
23 - Apr,27.5,43,7.22,18.64,21.2
24 - Apr,27.66,45.7,6.85,18.8,12.6
25 - Apr,28.66,37.33,6.57,21.55,12.73
26 - Apr,29.66,35,6.57,20.46,17.63
27 - Apr,30.7,34.33,6.04,18.6,16.6
28 - Apr,31.66,37.33,6.53,19.16,27.13
29 - Apr,32.7,35.33,5.7,18.8,15.18
30 - Apr,28,38.6,6.22,19.53,16.4
