Date,Temperature,Humidity,NO2,SO2,PM2.5
01 - Aug,26,66,7.1,12.4,17
02 - Aug,27,56,8.2,13.2,17.6
03 - Aug,27,78,9.6,17.6,34.6
04 - Aug,26.7,72.7,6.1,12,17.5
05 - Aug,26.5,70,8.3,15.3,25.2
06 - Aug,26,61,6.4,11.88,16.3
07 - Aug,27,35,10.1,19.1,37.2
08 - Aug,26.5,83,6.5,15.7,26.4
09 - Aug,27,70,7.4,16.3,28.7
10 - Aug,27,78,8.67,17.73,33.2
11 - Aug,28,70,9.1,18.9,33.8
12 - Aug,28,79,7.71,18.4,31.9
13 - Aug,27,56,5.4,11.2,17.9
14 - Aug,27,50,4.33,9.66,15.2
15 - Aug,26,78,4.24,9.1,12.3
16 - Aug,26,49,6.1,10.3,15
17 - Aug,25,58,8.6,13.4,33.8
18 - Aug,25,47,10.52,14.6,34.6
19 - Aug,26,68,8.9,13.2,31.5
20 - Aug,27,49,7.2,12.4,16
21 - Aug,28,54,6.1,11.7,15.2
22 - Aug,28,63.33,6.26,9.03,12.3
23 - Aug,28.6,83,8.3,11.3,16.4
24 - Aug,28,66,9.77,13.7,20.2
25 - Aug,29,73,12.4,17.6,36.2
26 - Aug,30,58,12.73,17.9,37.9
27 - Aug,29,59,11.6,19.1,39.6
28 - Aug,28,48,4.6,8.65,12.6
29 - Aug,26.7,83.33,8.17,10.03,19.54
30 - Aug,25.7,85,5.88,9.3,13.6
31 - Aug,26,63,9.6,13.4,19
