Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Dec,17.3,38,19.2,26.2,48.9
02-Dec,16.5,33,23.6,37.1,59.7
03-Dec,16,39,18.21,35.2,44.7
04-Dec,15,87,25.3,35.5,57.8
05-Dec,15.5,60,16.8,29.4,44
06-Dec,15.3,56,17.81,31.2,45.7
07-Dec,14.5,66,31.4,36.1,58.3
08-Dec,13,81.33,21.36,29.63,26.7
09-Dec,13.66,86.7,29.53,40.76,43.03
10-Dec,14,73,31.3,34.2,37.4
11-Dec,13,87,19.8,33.7,36
12-Dec,11,100,13.6,15.3,12.9
13-Dec,10,88,19.2,23.8,25.9
14-Dec,9.3,90,32.6,42.4,43.6
15-Dec,9,92,39.5,49.3,53
16-Dec,9,69,33.9,43.6,40.8
17-Dec,8,65,33.4,38.9,34.3
18-Dec,9.7,44.33,17.5,26.5,47.8
19-Dec,9.6,32.6,25.36,34.73,53.14
20-Dec,9.3,40,24.8,35.6,61.31
21-Dec,9.2,39.33,25.63,35.26,62.76
22-Dec,9.3,46.6,20.8,29.36,63.76
23-Dec,9.3,63.7,23.4,35.46,66.21
24-Dec,8.3,62,25.3,39.6,74.3
25-Dec,8,63,27.6,40.3,82.3
26-Dec,7,82,22.4,35.1,58
27-Dec,7,95,23.3,33.06,71.93
28-Dec,7.6,80,20.17,28.83,47.86
29-Dec,7.66,62.33,21.03,33.8,55.83
30-Dec,6,69,24.8,36.77,68.8
31-Dec,6,58,21.22,34.6,57.66
