Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Feb,8,54,19.2,30.5,62.7
02-Feb,9.66,58.33,17.16,23.65,29.85
03-Feb,9.5,48,16.3,19.6,18.9
04-Feb,9,74,18.6,20.1,20.45
05-Feb,10,63,19.3,22.4,32.8
06-Feb,11,51,22.1,29.3,42.3
07-Feb,11.5,48,27,35.4,61.2
08-Feb,12,43,28.33,38.5,65.82
09-Feb,11.8,39,31.22,44.6,71.35
10-Feb,12.5,40,32.3,47.63,74.82
11-Feb,13,41,22.4,37.4,53.4
12-Feb,12,43,27.3,38.6,57.2
13-Feb,13,39,26.11,37.11,52.9
14-Feb,14,38,26.3,37.3,50.1
15-Feb,15,44,32.1,48.6,75.4
16-Feb,15,46,28.6,45.62,62.9
17-Feb,16,39,27.33,41.33,58.6
18-Feb,16.3,43,23.6,40.55,55.83
19-Feb,16,36,27.8,44.2,59.44
20-Feb,17,38,31.7,48.2,62.7
21-Feb,16,42.7,26.03,44.7,59.44
22-Feb,16,54,27.88,42.61,52.68
23-Feb,17.5,46,28.4,43.35,55.63
24-Feb,18,38,25.61,36.4,44.67
25-Feb,18,36,21.3,34.3,43.2
26-Feb,19,40,22.6,38.5,46.3
27-Feb,19,41,18.9,22.6,18.5
28-Feb,20,32,18.11,23.6,20.1
