Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Jan-2020,7.6,68.52,33.63,42.93,38.17
2-Jan-2020,7.52,72.25,35.64,45.34,49.6
3-Jan-2020,6.5,74.12,34.42,44.4,44.93
4-Jan-2020,7.01,65.1,31.2,37.6,51.35
5-Jan-2020,6.58,68.4,30.5,48.6,65.4
6-Jan-2020,6.2,70.3,24.21,31.4,32.12
7-Jan-2020,6.88,74.2,29.6,32.6,44.3
8-Jan-2020,6.53,79,33.63,78.88,50.36
9-Jan-2020,6.54,70,34.8,66.03,40.72
10-Jan-2020,6.37,68.2,33.27,70.09,38.9
11-Jan-2020,6.3,51.3,34.63,60.3,45.7
12-Jan-2020,5.61,47.2,30.4,44.1,27.3
13-Jan-2020,5.44,50.36,30.2,35.21,22.6
14-Jan-2020,5.42,54.8,32.71,33.8,30.4
15-Jan-2020,5.66,57.30,35.4,41.60,33.75
16-Jan-2020,6.31,64.2,34.2,48.3,34.2
17-Jan-2020,6.21,68.3,33.5,44.6,46.8
18-Jan-2020,6.5,74.3,32.6,45.8,42.3
19-Jan-2020,6.58,78.6,30.82,52.4,48.2
20-Jan-2020,7.07,81.33,31.63,67.75,59.8
21-Jan-2020,8.63,51,31.64,66.03,38.63
22-Jan-2020,10.4,49.33,31.42,65.09,34.7
23-Jan-2020,7.7,45.7,34.71,62.93,48.16
24-Jan-2020,6.86,52.8,34.5,55.34,41.27
25-Jan-2020,6.83,64.3,19.21,34.4,18.08
26-Jan-2020,6.9,70.3,22.3,37.6,85.54
27-Jan-2020,6.97,83.6,24.06,44.1,62.24
28-Jan-2020,7.1,97,25.32,47.32,31.63
29-Jan-2020,11.7,64,21.16,37.01,40.26
30-Jan-2020,12.6,49.66,23.16,42.2,53.02
31-Jan-2020,13.76,54.4,22.23,32.57,64.66
