Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Jul,30.3,35,15.73,14.2,21.3
02-Jul,32.7,31.7,17.1,20.07,27.13
03-Jul,33,56,16.8,13.1,20.4
04-Jul,31.33,88,14.66,15.7,15.3
05-Jul,33.3,65,15.8,14.4,16.22
06-Jul,33.5,55,16.43,19.77,22.6
07-Jul,34.5,51,18.6,24.8,27.8
08-Jul,34,49,16.8,22.35,33.76
09-Jul,34.33,44.33,23.64,20.04,34.6
10-Jul,32.33,45,20.5,22.7,23.7
11-Jul,31,88,19.88,23.8,22.4
12-Jul,31.33,69,16.73,19.6,16.3
13-Jul,33.7,36.33,13.44,15.5,16.4
14-Jul,33,48,18.6,21.44,18.6
15-Jul,31.27,66.7,13.88,17.21,24.25
16-Jul,33.66,62.33,13.5,16.7,26.7
17-Jul,30,80,20.6,28.9,33.8
18-Jul,31,56,27.5,39.4,40.88
19-Jul,32,69,21.33,37.8,32
20-Jul,33.3,42,20.7,35.88,31.6
21-Jul,34,39,21.43,34.74,30.9
22-Jul,33.6,45,22.1,33.6,28.4
23-Jul,31.3,48,19.6,33.31,27.6
24-Jul,32.2,52,24.66,35.2,36.7
25-Jul,30.3,86,22.8,31.6,30.8
26-Jul,32.7,78.71,16.24,20.1,26.96
27-Jul,33.3,66.7,17.93,25.86,34.96
28-Jul,33.3,70.33,19.43,26.2,31.4
29-Jul,32,68,16.93,21.83,28.9
30-Jul,32.7,73,19.2,26.44,30.7
31-Jul,34,66,18.7,25.88,28.6
