Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Jun,32,36.66,4.61,16.44,22.66
2 - Jun,33.7,32.33,4.2,15.57,12.46
3 - Jun,34,26.33,4.23,14.1,13.86
4 - Jun,35,21.6,4.35,14.62,19.86
5 - Jun,35.7,18.33,4.41,14.68,23.43
6 - Jun,37,17,4.72,15.6,26.3
7 - Jun,37.33,20.66,5.07,16.09,35.76
8 - Jun,38,19.4,4.86,17.3,47
9 - Jun,37.63,19.83,5.57,16.2,34.98
10 - Jun,38,20,4.41,15.11,21
11 - Jun,37,25,4.43,15.3,22.7
12 - Jun,33.66,31,4.63,13.3,29.46
13 - Jun,34.17,23,5.4,12.97,26.17
14 - Jun,34.66,22,4.72,14.07,35
15 - Jun,36.33,25.66,4.77,15.56,49.33
16 - Jun,31.33,57.33,4.33,13.31,16.33
17 - Jun,34.7,34.33,6.06,18.71,28.06
18 - Jun,34.33,35.33,5.97,20.16,25
19 - Jun,30,79,3.99,11.33,11.33
20 - Jun,26,77.7,3.83,11.76,12.16
21 - Jun,24,76,3.9,12.53,10.93
22 - Jun,26,62,3.96,12.95,15
23 - Jun,27.66,50.33,3.91,13.07,15.76
24 - Jun,27.66,50.33,3.91,13.07,15.76
25 - Jun,34,52,4.18,13.2,20.6
26 - Jun,35.33,41,4.37,13.4,26.14
27 - Jun,36.33,34.66,4.46,13.92,29.53
28 - Jun,36.7,40.7,4.65,18.37,34.1
29 - Jun,36,43,4.43,17.81,39.4
30 - Jun,33.7,58.7,4.2,16.43,34.66
