Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Mar,16.66,61,11.15,20.96,38.34
2 - Mar,16,74.33,11.95,22.88,54.22
3 - Mar,16.33,82,9.63,21.7,34.53
4 - Mar,16.5,68,10.98,23.8,42.33
5 - May,16,76.3,12.6,26.4,73.4
6 - Mar,15.33,83.33,10.07,19.7,32.38
7 - Mar,16.7,36,9.46,16.6,20.95
8 - Mar,17.33,62.66,7.85,15.4,33.7
9 - Mar,18.66,67,4.88,19.82,33.53
10 - Mar,19,66,4.88,25.96,32.13
11 - Mar,19.5,59,7.6,26.4,47.3
12 - Mar,19.7,54,8.57,30.6,58.73
13 - Mar,21,58,7.36,19.78,32.99
14 - Mar,21,36,11.8,18.9,22.9
15 - Mar,22,30,18.6,26.4,30.6
16 - Mar,22,43,19.4,27.3,33.8
17 - Mar,21,37,20.6,30.4,36.87
18 - Mar,22.3,39,17.6,28.3,38.64
19 - Mar,23,41,16.53,26.4,33.5
20 - Mar,23.33,37,15.6,26.82,36.4
21 - Mar,23.5,38,14.7,19.2,34.68
22 - Mar,24,40,14.33,19.6,33.5
23 - Mar,24.5,43,13.1,19.3,33.2
24 - Mar,25.2,49.2,9,20.14,28.27
25 - Mar,25,43.2,12.66,27.33,26.11
26 - Mar,25.3,41.6,12.82,28.4,26.74
27 - Mar,26.66,39.33,14.64,31.79,27.8
28 - Mar,26,37.66,15.73,34.72,50.81
29 - Mar,26.66,37.66,13.48,35.36,63.72
30 - Mar,26.7,39,14.97,36.93,69.69
31 - Mar,27,31.66,11.03,37.73,53.46
