Date,Temperature,Humidity,NO2,SO2,PM2.5
01-May,23,57,15.7,20.3,16.7
02-May,23,59,16.8,22.8,18.6
03-May,23,38,18.9,25.9,23.6
04-May,23.7,60,20.3,26.8,33
05-May,24,56,14.5,17.6,20.3
06-May,24,41,16.3,20.11,22
07-May,24,37,16.5,20.4,21
08-May,24,32,15.6,19.1,19.2
09-May,24,29,13.33,17.4,18
10-May,24.5,30,13.6,17,18.4
11-May,25,31,13.8,17.7,17.88
12-May,25,28,14.1,16.7,18.2
13-May,25,25,12.5,13.6,16.4
14-May,24.5,27,12.7,18.3,18.7
15-May,25,44,12.66,16.7,15.6
16-May,25.5,32,13.2,15.1,16.8
17-May,26,33,13.5,16.7,18.3
18-May,26,64,13.24,16.8,16.5
19-May,26,40,9.11,17.3,18.8
20-May,26,32,17.3,20.8,31.2
21-May,26.5,35,9.6,13.9,13.4
22-May,27,43,8.6,14.7,14.3
23-May,27,35,8.91,14.6,12.6
24-May,27,27,9.2,13.6,12.2
25-May,27,26,9.4,16.9,11.7
26-May,27.33,82,18.89,22.33,18.3
27-May,28,18,18.6,23.4,20.8
28-May,28,37,18.88,24.7,26.3
29-May,28,49,20.6,26.4,30.2
30-May,28,41,17.3,21.3,22.6
31-May,28,49,15.4,20.2,19
