Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Nov,20.5,32,20.11,25.2,33.5
02-Nov,21,33,23.2,28.4,27.6
03-Nov,20.3,27,21.7,25.2,36.4
04-Nov,19.5,24,26.7,30.8,34.2
05-Nov,19,20,32.8,44.9,45.7
06-Nov,18.3,28,33.2,41.8,44.8
07-Nov,18.5,32,33.8,43.2,45.8
08-Nov,19.3,37,38.4,47.6,48
09-Nov,18.3,44,39.8,49.2,54
10-Nov,18,59,42.5,51.7,63
11-Nov,18.3,35,44.6,57.4,64.1
12-Nov,17.5,40,45.7,56.81,62.3
13-Nov,17,39,45.23,51.3,53.7
14-Nov,16,77,29.7,33.4,35
15-Nov,15,100,28.6,31.8,33.7
16-Nov,16.3,93,18.8,22.4,17.8
17-Nov,16.5,65,21.3,24.5,23.4
18-Nov,17.5,50,25.2,28.1,30.9
19-Nov,18.3,43,28.9,32.2,33.6
20-Nov,18.5,38,37.6,45.3,47.8
21-Nov,18.33,35,38.4,48.6,48.3
22-Nov,17.8,37,35.1,50.2,39.8
23-Nov,17,39,31.6,40.2,33.9
24-Nov,16.5,42,36.2,44.8,37.9
25-Nov,16.8,63,26.4,31.9,34.1
26-Nov,15.5,46,31.8,37.6,39.7
27-Nov,15.8,55,22.11,28.2,26.4
28-Nov,14.5,64,25.2,29.4,28.3
29-Nov,14.8,70,26.7,30.2,32.8
30-Nov,16,55,33.4,38.1,40.5
