Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Oct,28,76,16.3,17.3,28.3
2 - Oct,28,83,15.22,15.2,24.6
3 - Oct,27.5,70,10.6,11.8,12.5
4 - Oct,27,59,13.54,16.31,23.76
5 - Oct,26,66,7.22,12.1,12.3
6 - Oct,26,52,7.94,13.21,17.6
7 - Oct,25,79,11.3,15.23,23.66
8 - Oct,25,55,10.3,15.94,24.87
9 - Oct,24.5,70,13.71,18.3,30.6
10 - Oct,24,83,10.6,9.7,19.6
11 - Oct,24.8,59,6.21,8.99,10.3
12 - Oct,25,34,7.1,13.6,15.34
13 - Oct,25,50,8.22,14.1,22
14 - Oct,25.6,39,9.64,14.53,27.3
15 - Oct,26,31,7.88,13.87,19.84
16 - Oct,25.8,57,6.73,13.24,17.6
17 - Oct,25,83,6.4,13.7,18.2
18 - Oct,24,41,7.12,7.6,13.4
19 - Oct,24,47,6.82,12.77,15.87
20 - Oct,23.5,44,7.88,12.6,20.8
21 - Oct,23,34,9.42,15.4,32.78
22 - Oct,23,69,11.3,13.88,27
23 - Oct,22.8,72,7.2,11.3,19.66
24 - Oct,22.5,85,6.83,7.68,12.86
25 - Oct,22.3,64,7.33,9.6,18.65
26 - Oct,22,57,7.46,11.2,21.6
27 - Oct,21.8,53,7.62,11.73,23.4
28 - Oct,21.5,50,8.6,12.13,24.11
29 - Oct,21,35,8.22,10.64,22.5
30 - Oct,20.5,43,8.56,11.6,27.2
31 - Oct,20,48,8.15,9.68,22.3
