Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Nov,20,50,5.6,18.33,31.82
2 - Nov,19.33,49.66,9.923,17.62,47.9
3 - Nov,19.5,50,15.67,19.86,78.37
4 - Nov,18.33,56,13.56,18.83,60.92
5 - Nov,18,75,15.4,19.66,62.68
6 - Nov,18,53,16.3,19.7,64.45
7 - Nov,17.5,42,15.67,19.66,58.52
8 - Nov,17.5,39,14.6,21.4,55.69
9 - Nov,17,37,8.7,19.3,36.98
10 - Nov,16.8,30,8.31,20,38.8
11 - Nov,16.5,33,9.66,20.32,44.6
12 - Nov,16,31,9.21,19.67,39.6
13 - Nov,16,28,10.68,20.4,48.6
14 - Nov,16,27,12.4,23.6,51.92
15 - Nov,15.8,31,9.42,19.88,38.8
16 - Nov,15.5,35,10.9,20.57,47.8
17 - Nov,15.3,29,12.8,21,56.7
18 - Nov,15.33,32,12.4,20.59,51.78
19 - Nov,15,33,14.77,21.38,58.6
20 - Nov,15.3,30,15.73,22.3,61.3
21 - Nov,14.8,43,13.8,23.54,59.8
22 - Nov,14.8,58,13.46,22.6,54.9
23 - Nov,15,49,12.5,21.6,47.6
24 - Nov,15.5,46,13.33,23.4,53.6
25 - Nov,16,44,14.6,24.5,62.87
26 - Nov,16.3,45,15.33,25.6,65.9
27 - Nov,16.5,47.6,18.4,27.6,68.2
28 - Nov,16.17,48.86,28.97,22.8,49.45
29 - Nov,15,50.3,19.4,21.6,48.66
30 - Nov,14.6,51.2,19.6,23.14,51.84
