Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Sep,25,70,7.1,13.68,18
2 - Sep,26,60,8.2,134,17
3 - Sep,27,,9.3,13.77,19.3
4 - Sep,28,45,10.9,14.6,254
5 - Sep,28,48,12.34,14.93,28.3
6 - Sep,27,58,13.48,17.8,33.7
7 - Sep,26.5,80,13.87,19.3,37.4
8 - Sep,26,84.7,9.97,11.21,21.06
9 - Sep,27,83,7.9,13.2,14.8
10 - Sep,26.5,85,9.6,10.8,7.43
11 - Sep,27.3,71,7.82,9.2,5.8
12 - Sep,27.8,70,8.31,12.8,18.9
13 - Sep,27,86,8.88,11.8,15.88
14 - Sep,27.8,80,9.2,14.3,19.8
15 - Sep,28,44,7.6,13.77,15.4
16 - Sep,28.33,47.66,10.92,19.67,31.58
17 - Sep,28,78,9.8,19.42,30.8
18 - Sep,28.3,73,10.43,25.4,37.83
19 - Sep,28,,10.1,22.7,34.8
20 - Sep,27,73,11.8,21.3,30.1
21 - Sep,27,79,9.7,12.6,21.3
22 - Sep,26.8,86,9.55,13.8,20.2
23 - Sep,27.7,76.33,6.24,11.1,12.96
24 - Sep,27,62,6.8,13.4,16.9
25 - Sep,27.8,83,7.8,13.72,17.5
26 - Sep,27.33,59.33,6.93,10.66,20.2
27 - Sep,28,62,9.7,23.46,34.8
28 - Sep,28.33,53.66,8.8,17.73,32.36
29 - Sep,29,57,12.6,17.5,33.41
30 - Sep,29.5,72,14.6,23.9,42.91
