Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Oct,29,38,20.11,25.2,26.8
02-Oct,29.3,29,23.2,28.4,31.43
03-Oct,29,30,21.7,25.2,27.5
04-Oct,28.5,31,20.6,25.8,25.4
05-Oct,28,34,21.11,25.4,26.9
06-Oct,28.5,21,18.6,22.3,18.78
07-Oct,29,24,17.1,18.8,16.5
08-Oct,28,26,18.9,23.2,22.6
09-Oct,28.5,28,23.7,33.1,27.6
10-Oct,28.3,31,26.3,34.5,30.1
11-Oct,28.1,32,19.54,32.4,29.7
12-Oct,28,33,23.7,33.6,31.4
13-Oct,28,34,24.3,36.1,33.9
14-Oct,27.5,27,24.1,27.3,29
15-Oct,27,22,24.7,29.2,31
16-Oct,27,23,23.5,28.1,27.4
17-Oct,27,21,26.4,32.5,33.1
18-Oct,26.5,23,24.3,30.8,26.3
19-Oct,26,25,26.4,32.9,34.9
20-Oct,26,30,23.8,28.6,29.4
21-Oct,25,32,25.71,32.4,42
22-Oct,24,33,38.3,49.6,59.3
23-Oct,23,52,44.2,51.2,62.1
24-Oct,23,27,47.8,56.7,68.51
25-Oct,22.5,28,28.9,32.8,35.8
26-Oct,22,22,27.8,33.4,36.9
27-Oct,22,28,35.4,40.8,43
28-Oct,21,27,36.6,39.22,42.8
29-Oct,20,31,37.3,40.4,43.7
30-Oct,21,32,33.8,35.3,32.4
