Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Sep,30,68,20.11,25.2,22.1
02-Sep,32,63,18.7,24.7,20.3
03-Sep,31,77,18.2,24.41,19.1
04-Sep,32,83,18.5,27.4,18.6
05-Sep,31,75,19.7,28.66,19.4
06-Sep,30,61.33,15.36,19.77,11.94
07-Sep,29,55.33,16.36,19.73,13.5
08-Sep,32,52,22.8,21.16,22.6
09-Sep,32,54,23.2,24.03,27.1
10-Sep,31,59,25.8,38.7,28.7
11-Sep,31,64,19.54,24.03,26.4
12-Sep,33,55,23.7,26.7,29.3
13-Sep,32.3,66,26.42,30.6,34.2
14-Sep,33,58,25.6,29.4,31.9
15-Sep,34,62,26.4,28.6,31.4
16-Sep,34,59,27.1,32.7,34.2
17-Sep,34.5,66,26.4,32.5,33.1
18-Sep,34.7,47,24.3,30.8,25.9
19-Sep,34.5,41,23.7,28.9,23.4
20-Sep,34,64,24.8,29.6,25.3
21-Sep,34.3,44,25.71,31.6,29.4
22-Sep,34,44,27.53,33.2,32.8
23-Sep,33,48,22.3,25.8,18.7
24-Sep,30,44.33,19.73,24.3,19.35
25-Sep,30,55,17.8,24.2,18.9
26-Sep,31.3,44,15.3,21.4,14.5
27-Sep,29.33,42,21.4,26.26,26
28-Sep,30.3,39,22.24,31.2,29.93
29-Sep,30,36,20.6,29.5,24.6
30-Sep,29,37,18.6,24.7,20.8
